NAV Calculation Date;NAV €;;;;;Fund size (compartment)
01.2014;19,62;;;;;
12.2013;19,12;;;;;
11.2013;19,28;;;;;
10.2013;19,05;;;;;
09.2013;19,48;;;;;
08.2013;19,03;;;;;
07.2013;18,35;;;;;
06.2013;17,73;;;;;
05.2013;18,08;;;;;
04.2013;16,91;;;;;
03.2013;17,17;;;;;
02.2013;16,53;;;;;
01.2013;16,32;;;;;
12.2012;15,88;;;;;
11.2012;15,55;;;;;
10.2012;15,72;;;;;
09.2012;16,41;;;;;
08.2012;16,47;;;;;
07.2012;15,68;;;;;
06.2012;15,33;;;;;
05.2012;15,39;;;;;
04.2012;15,94;;;;;
03.2012;15,98;;;;;
02.2012;15,40;;;;;
01.2012;14,65;;;;;
12.2011;13,96;;;;;
11.2011;13,78;;;;;
10.2011;13,49;;;;;
09.2011;12,98;;;;;
08.2011;12,48;;;;;
07.2011;14,04;;;;;
06.2011;13,43;;;;;
05.2011;14,28;;;;;
04.2011;14,10;;;;;
03.2011;14,33;;;;;
02.2011;15,55;;;;;
01.2011;15,51;;;;;
12.2010;15,00;;;;;
11.2010;14,11;;;;;
10.2010;13,33;;;;;
09.2010;13,13;;;;;
08.2010;12,78;;;;;
07.2010;12,88;;;;;
06.2010;13,57;;;;;
05.2010;13,69;;;;;
04.2010;13,85;;;;;
03.2010;12,99;;;;;
02.2010;12,09;;;;;
01.2010;12,27;;;;;
12.2009;11,74;;;;;
11.2009;11,02;;;;;
10.2009;11,14;;;;;
09.2009;11,18;;;;;
08.2009;10,71;;;;;
07.2009;9,97;;;;;
06.2009;9,67;;;;;
05.2009;9,33;;;;;
04.2009;9,14;;;;;
03.2009;7,98;;;;;
02.2009;8,18;;;;;
01.2009;8,00;;;;;
12.2008;7,69;;;;;
11.2008;8,33;;;;;
10.2008;9,00;;;;;
09.2008;10,53;;;;;
08.2008;11,11;;;;;
07.2008;10,27;;;;;
06.2008;11,34;;;;;
05.2008;11,61;;;;;
04.2008;10,96;;;;;
03.2008;10,48;;;;;
