Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
07.05.2021;339,03;;339,03;;1,904B;11949147334,16
06.05.2021;335,82;;335,82;;1,884B;11816032677,14
05.05.2021;339,70;;339,70;;1,904B;11935762864,84
04.05.2021;337,45;;337,45;;1,89B;11851082893,56
03.05.2021;342,13;;342,13;;1,914B;12005337308,43
30.04.2021;342,95;;342,95;;1,918B;12020746544,75
29.04.2021;344,46;;344,46;;1,926B;12072782316,7
28.04.2021;346,36;;346,36;;1,936B;12133758918,01
27.04.2021;346,14;;346,14;;1,977B;12163239862,33
26.04.2021;346,01;;346,01;;1,976B;12154120368,02
23.04.2021;343,98;;343,98;;1,962B;12076816601,9
22.04.2021;343,87;;343,87;;1,96B;12063083020,71
21.04.2021;341,26;;341,26;;1,943B;11961015157,52
20.04.2021;342,20;;342,20;;1,948B;11988712501,04
19.04.2021;344,81;;344,81;;1,961B;12072589046,21
16.04.2021;345,47;;345,47;;1,964B;12086597283,11
15.04.2021;343,93;;343,93;;1,953B;12025696112,57
14.04.2021;344,34;;344,34;;1,95B;12028796721,09
13.04.2021;342,48;;342,48;;1,938B;11958180116,6
12.04.2021;341,41;;341,41;;1,877B;11863790223,42
09.04.2021;341,98;;341,98;;1,878B;11877184900,67
08.04.2021;341,47;;341,47;;1,874B;11855781912,27
07.04.2021;340,23;;340,23;;1,865B;11804658157,46
06.04.2021;342,40;;342,40;;1,875B;11854568960,16
01.04.2021;340,04;;340,04;;1,86B;11754529387,26
31.03.2021;336,07;;336,07;;1,836B;11603952365,96
30.03.2021;331,98;;331,98;;1,813B;11456230375,96
29.03.2021;332,38;;332,38;;1,814B;11467846820,78
26.03.2021;329,89;;329,89;;1,814B;11391161904,82
25.03.2021;323,57;;323,57;;1,763B;11153865840,42
24.03.2021;330,03;;330,03;;1,803B;11381163338,74
23.03.2021;331,69;;331,69;;1,82B;11444328459,11
22.03.2021;331,19;;331,19;;1,85B;11464251820,12
19.03.2021;330,62;;330,62;;1,844B;11429646431,8
18.03.2021;332,82;;332,82;;1,855B;11496905662,64
17.03.2021;332,28;;332,28;;1,851B;11469968492,77
16.03.2021;336,59;;336,59;;1,874B;11611753893,31
15.03.2021;333,06;;333,06;;1,851B;11481487034,76
12.03.2021;331,62;;331,62;;1,841B;11430564503,3
11.03.2021;331,11;;331,11;;1,84B;11408201835,82
10.03.2021;329,25;;329,25;;1,853B;11384861029,48
09.03.2021;327,00;;327,00;;1,837B;11314268167,07
08.03.2021;323,61;;323,61;;1,822B;11188077724,36
05.03.2021;317,88;;317,88;;1,787B;10980844105,19
04.03.2021;319,78;;319,78;;1,796B;11046588662,91
03.03.2021;324,81;;324,81;;1,822B;11214267642,39
02.03.2021;330,95;;330,95;;1,857B;11422116237,68
01.03.2021;329,68;;329,68;;1,843B;11366812802,17
26.02.2021;322,96;;322,96;;1,803B;11136139474,55
25.02.2021;328,68;;328,68;;1,834B;11332858431,71
24.02.2021;327,89;;327,89;;1,828B;11288991755,17
23.02.2021;324,98;;324,98;;1,812B;11183550180,08
22.02.2021;333,12;;333,12;;1,857B;11459245872,06
19.02.2021;336,98;;336,98;;1,877B;11580619301,99
18.02.2021;335,41;;335,41;;1,868B;11511856531,18
17.02.2021;339,24;;339,24;;1,89B;11635840903,79
16.02.2021;342,21;;342,21;;1,905B;11730814130,29
12.02.2021;339,64;;339,64;;1,889B;11624829007,95
11.02.2021;337,38;;337,38;;1,874B;11524759505,85
10.02.2021;337,99;;337,99;;1,91B;11566799807,89
09.02.2021;336,54;;336,54;;1,9B;11506821425,27
08.02.2021;337,15;;337,15;;1,902B;11509446613,35
05.02.2021;334,23;;334,23;;1,884B;11399333977,31
04.02.2021;332,11;;332,11;;1,869B;11313994118,91
03.02.2021;330,98;;330,98;;1,861B;11265786563,16
02.02.2021;329,31;;329,31;;1,851B;11204315764,55
01.02.2021;321,80;;321,80;;1,808B;10942606024,64
29.01.2021;319,43;;319,43;;1,781B;10846272421,86
28.01.2021;321,21;;321,21;;1,79B;10898471300,71
27.01.2021;321,37;;321,37;;1,789B;10893908523,17
26.01.2021;328,68;;328,68;;1,83B;11148508434,27
25.01.2021;330,67;;330,67;;1,835B;11205547433,91
22.01.2021;328,17;;328,17;;1,816B;11112955333,83
21.01.2021;329,33;;329,33;;1,821B;11143781460,23
20.01.2021;330,30;;330,30;;1,824B;11162206182,52
19.01.2021;326,33;;326,33;;1,801B;11012766618,78
15.01.2021;325,18;;325,18;;1,803B;10982622386,52
14.01.2021;327,32;;327,32;;1,815B;11053087234,15
13.01.2021;325,09;;325,09;;1,8B;10978305788,91
12.01.2021;325,61;;325,61;;1,785B;10976342878,06
11.01.2021;325,33;;325,33;;1,782B;10956476758,28
08.01.2021;325,68;;325,68;;1,78B;10965905729,2
07.01.2021;320,46;;320,46;;1,778B;10815893745,68
06.01.2021;315,11;;315,11;;1,748B;10622936652,74
05.01.2021;313,93;;313,93;;1,741B;10577096683,48
04.01.2021;316,26;;316,26;;1,753B;10649973950,75
31.12.2020;313,57;;313,57;;1,738B;10555748994,07
30.12.2020;314,77;;314,77;;1,744B;10596121399,17
29.12.2020;313,64;;313,64;;1,737B;10551347395,91
28.12.2020;315,21;;315,21;;1,743B;10591360883,57
23.12.2020;313,87;;313,87;;1,735B;10537393727,15
22.12.2020;312,15;;312,15;;1,724B;10467914628,92
21.12.2020;308,70;;308,70;;1,705B;10344942508,47
18.12.2020;312,98;;312,98;;1,726B;10483382117,3
17.12.2020;311,45;;311,45;;1,717B;10425725144,92
16.12.2020;310,55;;310,55;;1,711B;10394910276,21
15.12.2020;308,73;;308,73;;1,698B;10321766170,97
14.12.2020;309,51;;309,51;;1,703B;10345775994,9
11.12.2020;306,18;;306,18;;1,683B;10231258795,88
10.12.2020;305,53;;305,53;;1,679B;10198212540,46
09.12.2020;308,33;;308,33;;1,713B;10295783240,46
08.12.2020;305,51;;305,51;;1,696B;10199262299,03
07.12.2020;305,07;;305,07;;1,692B;10173255200,36
04.12.2020;303,85;;303,85;;1,701B;10151060640,62
03.12.2020;302,90;;302,90;;1,696B;10110556951,11
02.12.2020;303,57;;303,57;;1,698B;10112491386,78
01.12.2020;307,28;;307,28;;1,717B;10225257073,43
30.11.2020;305,42;;305,42;;1,706B;10154986947,29
27.11.2020;307,00;;307,00;;1,711B;10156051953,59
25.11.2020;304,65;;304,65;;1,697B;10101333097,66
24.11.2020;304,75;;304,75;;1,66B;10076800005,95
23.11.2020;303,98;;303,98;;1,653B;10076334304,2
20.11.2020;302,64;;302,64;;1,643B;10067697416,06
19.11.2020;302,55;;302,55;;1,641B;10055577749,72
18.11.2020;303,22;;303,22;;1,642B;10070708316,67
17.11.2020;301,60;;301,60;;1,633B;10012430212,85
16.11.2020;304,14;;304,14;;1,646B;10086030974,69
13.11.2020;302,35;;302,35;;1,636B;10020450632,91
12.11.2020;302,46;;302,46;;1,649B;10046225591,65
11.11.2020;302,67;;302,67;;1,65B;10047147647,65
10.11.2020;298,65;;298,65;;1,626B;9913941960,54
09.11.2020;304,37;;304,37;;1,657B;10105744527,28
06.11.2020;298,02;;298,02;;1,622B;9894412860,25
05.11.2020;298,75;;298,75;;1,625B;9913480604,78
04.11.2020;293,74;;293,74;;1,598B;9741239541,85
03.11.2020;288,24;;288,24;;1,567B;9562782409,57
02.11.2020;286,10;;286,10;;1,555B;9485631494,23
30.10.2020;279,17;;279,17;;1,517B;9265558035,56
29.10.2020;283,82;;283,82;;1,542B;9421056237,36
28.10.2020;282,49;;282,49;;1,536B;9382469256,13
27.10.2020;288,29;;288,29;;1,566B;9576789902,68
26.10.2020;289,12;;289,12;;1,571B;9609901312,28
23.10.2020;292,69;;292,69;;1,59B;9728950497,21
22.10.2020;293,01;;293,01;;1,591B;9737563370,27
21.10.2020;294,06;;294,06;;1,589B;9766162644,11
20.10.2020;294,97;;294,97;;1,594B;9785172501,53
19.10.2020;297,33;;297,33;;1,607B;9867538296,61
16.10.2020;298,33;;298,33;;1,613B;9910924255,83
15.10.2020;295,99;;295,99;;1,599B;9825586065,66
14.10.2020;299,74;;299,74;;1,62B;9954015688,18
13.10.2020;299,20;;299,20;;1,614B;9932566681,86
12.10.2020;297,41;;297,41;;1,6B;9871277151,33
09.10.2020;295,09;;295,09;;1,586B;9791296460,41
08.10.2020;294,04;;294,04;;1,579B;9750228477,75
07.10.2020;290,92;;290,92;;1,562B;9647055744,78
06.10.2020;289,77;;289,77;;1,555B;9600946455,26
05.10.2020;288,05;;288,05;;1,546B;9537184465,03
02.10.2020;286,45;;286,45;;1,532B;9475337649,37
01.10.2020;287,00;;287,00;;1,536B;9487455169,87
30.09.2020;285,91;;285,91;;1,532B;9446283325,84
29.09.2020;284,80;;284,80;;1,523B;9407168242,62
28.09.2020;284,30;;284,30;;1,522B;9390919929,36
25.09.2020;277,95;;277,95;;1,488B;9178752985,9
24.09.2020;277,43;;277,43;;1,484B;9157267870,55
23.09.2020;282,48;;282,48;;1,511B;9326745511,7
22.09.2020;278,88;;278,88;;1,496B;9215845748,43
21.09.2020;278,23;;278,23;;1,492B;9189097448,08
18.09.2020;283,97;;283,97;;1,522B;9373859616,8
17.09.2020;283,05;;283,05;;1,521B;9342254603,39
16.09.2020;286,13;;286,13;;1,537B;9433968367,5
15.09.2020;284,68;;284,68;;1,529B;9385107036,96
14.09.2020;280,95;;280,95;;1,509B;9273864007,45
11.09.2020;277,35;;277,35;;1,489B;9147996842,29
10.09.2020;279,78;;279,78;;1,502B;9230458719,05
09.09.2020;278,96;;278,96;;1,503B;9205190333,6
08.09.2020;277,18;;277,18;;1,493B;9135688724,82
04.09.2020;281,04;;281,04;;1,513B;9262072492,49
03.09.2020;288,44;;288,44;;1,55B;9497750498,45
02.09.2020;288,36;;288,36;;1,549B;9493785953,14
01.09.2020;283,25;;283,25;;1,52B;9327414637,39
31.08.2020;283,50;;283,50;;1,521B;9333937579,47
28.08.2020;284,36;;284,36;;1,526B;9359871684,89
27.08.2020;286,06;;286,06;;1,535B;9401205217,1
26.08.2020;284,68;;284,68;;1,527B;9355762011,48
25.08.2020;283,44;;283,44;;1,52B;9316357184,12
24.08.2020;282,90;;282,90;;1,518B;9297559617,51
21.08.2020;281,42;;281,42;;1,509B;9243382280,78
20.08.2020;279,51;;279,51;;1,498B;9180912010,13
19.08.2020;279,41;;279,41;;1,497B;9183345756,64
18.08.2020;279,58;;279,58;;1,497B;9184068255,34
17.08.2020;280,23;;280,23;;1,5B;9197173590,79
14.08.2020;279,52;;279,52;;1,496B;9171561339,74
13.08.2020;280,09;;280,09;;1,499B;9188658619,94
12.08.2020;279,82;;279,82;;1,497B;9177766738,03
11.08.2020;279,03;;279,03;;1,491B;9140404864,09
10.08.2020;278,43;;278,43;;1,487B;9120033619,33
07.08.2020;279,18;;279,18;;1,49B;9121130408,17
06.08.2020;277,24;;277,24;;1,479B;9053177096,18
05.08.2020;276,68;;276,68;;1,476B;9030068202,14
04.08.2020;277,12;;277,12;;1,478B;9034699902,8
03.08.2020;276,93;;276,93;;1,48B;9031218082,59
31.07.2020;273,67;;273,67;;1,463B;8931234204,35
30.07.2020;272,57;;272,57;;1,458B;8899546601,06
29.07.2020;275,54;;275,54;;1,471B;8992396191,13
28.07.2020;274,82;;274,82;;1,467B;8968348950,94
27.07.2020;274,61;;274,61;;1,466B;8961463523,02
24.07.2020;274,71;;274,71;;1,467B;8954621835,85
23.07.2020;281,57;;281,57;;1,503B;9175743908,01
22.07.2020;280,43;;280,43;;1,497B;9136257813
21.07.2020;283,88;;283,88;;1,516B;9238601871,28
20.07.2020;281,43;;281,43;;1,502B;9155617960,82
17.07.2020;278,94;;278,94;;1,492B;9078125213,84
16.07.2020;277,50;;277,50;;1,482B;9027162079,46
15.07.2020;278,45;;278,45;;1,486B;9056721908,12
14.07.2020;272,19;;272,19;;1,453B;8850933681,72
13.07.2020;278,34;;278,34;;1,485B;9045332644,78
10.07.2020;276,09;;276,09;;1,475B;8970853889,37
09.07.2020;277,02;;277,02;;1,481B;8999923221,18
08.07.2020;276,06;;276,06;;1,476B;8967479903,5
07.07.2020;276,37;;276,37;;1,476B;8974184456,45
06.07.2020;276,58;;276,58;;1,475B;8968268607,61
02.07.2020;275,46;;275,46;;1,469B;8930471823,35
01.07.2020;271,79;;271,79;;1,451B;8819038206,62
30.06.2020;269,60;;269,60;;1,438B;8755915865,57
29.06.2020;265,35;;265,35;;1,414B;8617868924,74
26.06.2020;269,97;;269,97;;1,438B;8764162994,9
25.06.2020;266,43;;266,43;;1,419B;8637493424,23
24.06.2020;269,72;;269,72;;1,427B;8734165841,37
22.06.2020;270,32;;270,32;;1,445B;8770951519,79
19.06.2020;273,45;;273,45;;1,461B;8861285151,49
18.06.2020;270,59;;270,59;;1,443B;8758946139,06
17.06.2020;271,46;;271,46;;1,446B;8784091251,71
16.06.2020;270,72;;270,72;;1,442B;8762327591,9
15.06.2020;258,69;;258,69;;1,377B;8368289917,31
12.06.2020;263,65;;263,65;;1,404B;8536896902,83
11.06.2020;264,47;;264,47;;1,412B;8566359480,78
10.06.2020;271,55;;271,55;;1,45B;8789598995,17
09.06.2020;271,60;;271,60;;1,448B;8783970504,24
08.06.2020;273,33;;273,33;;1,455B;8824008440,27
05.06.2020;273,02;;273,02;;1,451B;8807074933,75
04.06.2020;271,26;;271,26;;1,44B;8742349499,08
03.06.2020;271,45;;271,45;;1,439B;8736985965,02
02.06.2020;268,22;;268,22;;1,421B;8621446714,6
29.05.2020;264,48;;264,48;;1,401B;8491064860,97
28.05.2020;266,70;;266,70;;1,414B;8554267496,4
27.05.2020;262,88;;262,88;;1,392B;8423697398,15
26.05.2020;265,32;;265,32;;1,404B;8490312632,02
22.05.2020;260,59;;260,59;;1,378B;8324713671,51
20.05.2020;260,38;;260,38;;1,377B;8318305064,45
19.05.2020;258,85;;258,85;;1,368B;8258248688,05
18.05.2020;258,78;;258,78;;1,367B;8248482275,1
15.05.2020;251,94;;251,94;;1,36B;8053269217,85
14.05.2020;246,46;;246,46;;1,33B;7872142146,71
13.05.2020;253,81;;253,81;;1,377B;8119238510,28
12.05.2020;257,87;;257,87;;1,397B;8242786721,91
11.05.2020;257,24;;257,24;;1,393B;8213989703,18
08.05.2020;257,85;;257,85;;1,396B;8227842337,75
07.05.2020;255,70;;255,70;;1,385B;8170773627,96
06.05.2020;252,03;;252,03;;1,363B;8033883355,24
05.05.2020;250,66;;250,66;;1,354B;7986988706,46
04.05.2020;243,82;;243,82;;1,315B;7760483538,82
30.04.2020;254,56;;254,56;;1,373B;8091925966,11
29.04.2020;255,86;;255,86;;1,379B;8125448764,3
28.04.2020;253,83;;253,83;;1,367B;8056792297,23
27.04.2020;249,33;;249,33;;1,341B;7908600922,82
24.04.2020;244,02;;244,02;;1,299B;7718869303,78
23.04.2020;245,73;;245,73;;1,308B;7770889519,75
22.04.2020;241,91;;241,91;;1,287B;7645219901,59
21.04.2020;241,26;;241,26;;1,282B;7615421601,71
20.04.2020;245,12;;245,12;;1,3B;7728663188,66
17.04.2020;246,46;;246,46;;1,306B;7764180161,25
16.04.2020;239,16;;239,16;;1,267B;7528175491,62
15.04.2020;239,35;;239,35;;1,267B;7522423925,98
14.04.2020;242,61;;242,61;;1,281B;7618792347,1
09.04.2020;241,24;;241,24;;1,275B;7569934773,48
08.04.2020;231,32;;231,32;;1,218B;7254951664,61
07.04.2020;235,90;;235,90;;1,158B;7311168176,58
06.04.2020;227,22;;227,22;;1,114B;7021216074,96
03.04.2020;220,92;;220,92;;1,083B;6818392065,1
02.04.2020;218,00;;218,00;;1,073B;6734479149,39
01.04.2020;219,46;;219,46;;1,079B;6776736351,22
31.03.2020;226,05;;226,05;;1,11B;6978644523,59
30.03.2020;222,61;;222,61;;1,091B;6868609330,59
27.03.2020;221,04;;221,04;;1,082B;6812899016,69
26.03.2020;224,88;;224,88;;1,098B;6925368024,1
25.03.2020;218,99;;218,99;;1,068B;6727050597,54
24.03.2020;212,52;;212,52;;1,036B;6527369343,14
23.03.2020;201,12;;201,12;;978,463M;6167153805,36
20.03.2020;217,42;;217,42;;1,057B;6665836954,89
19.03.2020;207,04;;207,04;;1,006B;6357789352,08
18.03.2020;206,46;;206,46;;1,01B;6355753120,87
17.03.2020;209,67;;209,67;;1,032B;6476851616,39
16.03.2020;209,44;;209,44;;1,034B;6497907212,43
13.03.2020;217,83;;217,83;;1,076B;6775776318,26
12.03.2020;219,16;;219,16;;1,09B;6829003740,32
11.03.2020;235,75;;235,75;;1,178B;7376241632,79
10.03.2020;238,14;;238,14;;1,19B;7479833597,38
09.03.2020;237,11;;237,11;;1,184B;7453074530,19
06.03.2020;250,79;;250,79;;1,226B;7851189708,27
05.03.2020;262,25;;262,25;;1,28B;8193955960,44
04.03.2020;263,80;;263,80;;1,268B;8225261893,93
03.03.2020;262,69;;262,69;;1,264B;8210525179,64
02.03.2020;256,41;;256,41;;1,234B;8023899107,21
28.02.2020;254,28;;254,28;;1,224B;7959536163,02
27.02.2020;265,52;;265,52;;1,279B;8310047580,53
26.02.2020;277,14;;277,14;;1,336B;8677110205,3
25.02.2020;282,97;;282,97;;1,362B;8870341922,33
24.02.2020;283,57;;283,57;;1,366B;8885418078,62
21.02.2020;292,40;;292,40;;1,406B;9148785728,53
20.02.2020;296,04;;296,04;;1,421B;9257583299,88
19.02.2020;297,08;;297,08;;1,425B;9281811930,81
18.02.2020;294,89;;294,89;;1,415B;9203399778,91
14.02.2020;294,58;;294,58;;1,417B;9198733635,07
13.02.2020;292,76;;292,76;;1,408B;9129952920,67
12.02.2020;292,44;;292,44;;1,404B;9115705509,71
11.02.2020;291,08;;291,08;;1,394B;9059650305,19
10.02.2020;287,34;;287,34;;1,375B;8935928046,82
07.02.2020;286,19;;286,19;;1,366B;8893655418,03
06.02.2020;287,70;;287,70;;1,371B;8929536254,83
05.02.2020;286,47;;286,47;;1,362B;8887151977,21
04.02.2020;283,35;;283,35;;1,346B;8792570310,59
03.02.2020;279,24;;279,24;;1,324B;8661203115,1
31.01.2020;279,32;;279,32;;1,322B;8648655723,79
30.01.2020;281,25;;281,25;;1,329B;8702433904,89
29.01.2020;284,17;;284,17;;1,34B;8788019893,25
28.01.2020;282,62;;282,62;;1,331B;8736919685,38
27.01.2020;281,49;;281,49;;1,323B;8690830017,18
24.01.2020;288,65;;288,65;;1,357B;8906282972,33
23.01.2020;285,89;;285,89;;1,341B;8812195990,44
22.01.2020;288,01;;288,01;;1,349B;8868419150,08
21.01.2020;285,21;;285,21;;1,332B;8762687826,12
17.01.2020;286,09;;286,09;;1,334B;8787500185,1
16.01.2020;283,37;;283,37;;1,327B;8704139852,8
15.01.2020;282,19;;282,19;;1,319B;8663732815,38
14.01.2020;281,40;;281,40;;1,314B;8634770678,84
13.01.2020;280,82;;280,82;;1,31B;8604760542,89
10.01.2020;280,84;;280,84;;1,309B;8601768616,48
09.01.2020;280,06;;280,06;;1,305B;8579227017,03
08.01.2020;277,93;;277,93;;1,293B;8513412183,82
07.01.2020;276,47;;276,47;;1,286B;8467475319,11
06.01.2020;274,54;;274,54;;1,277B;8401551678,48
03.01.2020;276,34;;276,34;;1,284B;8454942058,94
02.01.2020;277,71;;277,71;;1,289B;8492098847,46
31.12.2019;274,86;;274,86;;1,276B;8405550389,8
30.12.2019;274,97;;274,97;;1,274B;8402736523,08
27.12.2019;277,10;;277,10;;1,278B;8447416821,33
23.12.2019;277,56;;277,56;;1,278B;8452891619,74
20.12.2019;276,99;;276,99;;1,274B;8426967474,97
19.12.2019;274,15;;274,15;;1,26B;8333936461,99
18.12.2019;273,89;;273,89;;1,257B;8320957546,3
17.12.2019;272,89;;272,89;;1,253B;8286046348,25
16.12.2019;273,19;;273,19;;1,252B;8290380878,78
13.12.2019;271,02;;271,02;;1,239B;8214302734,57
12.12.2019;270,52;;270,52;;1,235B;8190649458,23
11.12.2019;269,46;;269,46;;1,231B;8152604181,01
10.12.2019;269,31;;269,31;;1,229B;8140921047,16
09.12.2019;270,54;;270,54;;1,233B;8171338973,1
06.12.2019;271,18;;271,18;;1,234B;8177909045,6
05.12.2019;268,10;;268,10;;1,222B;8078220163,93
04.12.2019;268,29;;268,29;;1,223B;8082163813,95
03.12.2019;265,50;;265,50;;1,21B;7987298861,36
02.12.2019;269,26;;269,26;;1,226B;8087963286,68
29.11.2019;272,24;;272,24;;1,239B;8163684781,66
27.11.2019;272,51;;272,51;;1,239B;8165496861,11
26.11.2019;271,02;;271,02;;1,232B;8116710748,95
25.11.2019;269,99;;269,99;;1,226B;8077428762,65
22.11.2019;267,10;;267,10;;1,213B;7985628854,28
21.11.2019;266,19;;266,19;;1,207B;7954337250,14
20.11.2019;267,84;;267,84;;1,213B;7995279139,54
19.11.2019;268,02;;268,02;;1,212B;7992788371,83
18.11.2019;267,71;;267,71;;1,217B;7982603586,34
15.11.2019;267,22;;267,22;;1,213B;7958239502,13
14.11.2019;267,08;;267,08;;1,215B;8005731368,06
13.11.2019;266,84;;266,84;;1,213B;7995069807,97
12.11.2019;267,76;;267,76;;1,216B;8016367297,64
11.11.2019;266,27;;266,27;;1,209B;7969568513,86
08.11.2019;266,32;;266,32;;1,208B;7965804562,27
07.11.2019;267,43;;267,43;;1,212B;7997304050,65
06.11.2019;265,23;;265,23;;1,2B;7918578166,39
05.11.2019;265,61;;265,61;;1,199B;7921795971,31
04.11.2019;264,79;;264,79;;1,194B;7888707586
31.10.2019;261,48;;261,48;;1,179B;7785628531,47
30.10.2019;262,05;;262,05;;1,181B;7799425006,07
29.10.2019;262,19;;262,19;;1,178B;7794197044,09
28.10.2019;262,71;;262,71;;1,18B;7803341929,58
25.10.2019;260,30;;260,30;;1,168B;7726064649,81
24.10.2019;259,14;;259,14;;1,162B;7688853865,68
23.10.2019;257,95;;257,95;;1,156B;7645997933,47
22.10.2019;258,81;;258,81;;1,159B;7667034827,65
21.10.2019;257,77;;257,77;;1,154B;7630836208,54
18.10.2019;257,70;;257,70;;1,153B;7619991511,97
17.10.2019;258,86;;258,86;;1,157B;7648337159,44
16.10.2019;258,31;;258,31;;1,154B;7623330835,98
15.10.2019;259,48;;259,48;;1,158B;7651470551,92
14.10.2019;257,85;;257,85;;1,154B;7606589478,33
11.10.2019;257,84;;257,84;;1,153B;7605001244,04
10.10.2019;254,40;;254,40;;1,136B;7479336641,52
09.10.2019;253,87;;253,87;;1,137B;7461404888,01
08.10.2019;253,32;;253,32;;1,134B;7443700806,78
07.10.2019;256,16;;256,16;;1,146B;7519497461,34
04.10.2019;255,81;;255,81;;1,145B;7507578992,25
03.10.2019;252,34;;252,34;;1,129B;7400538659,74
02.10.2019;253,48;;253,48;;1,133B;7429500162,19
01.10.2019;261,05;;261,05;;1,166B;7644784711,56
30.09.2019;260,04;;260,04;;1,161B;7611082860,37
27.09.2019;259,67;;259,67;;1,158B;7596223889,83
26.09.2019;259,21;;259,21;;1,156B;7579194830,62
25.09.2019;256,33;;256,33;;1,142B;7491658710,42
24.09.2019;260,14;;260,14;;1,159B;7597100966,34
23.09.2019;258,93;;258,93;;1,153B;7555907768,27
20.09.2019;260,21;;260,21;;1,158B;7587173400,39
19.09.2019;259,76;;259,76;;1,156B;7585008624,21
18.09.2019;259,07;;259,07;;1,151B;7560131272,72
17.09.2019;259,11;;259,11;;1,152B;7558194036,67
16.09.2019;259,58;;259,58;;1,153B;7565703169,04
13.09.2019;259,79;;259,79;;1,163B;7578919967,1
12.09.2019;260,01;;260,01;;1,12B;7536339520,47
11.09.2019;258,16;;258,16;;1,111B;7462464819,61
10.09.2019;254,67;;254,67;;1,097B;7364871229,06
09.09.2019;257,49;;257,49;;1,109B;7444076708,26
06.09.2019;258,70;;258,70;;1,114B;7470509717,6
05.09.2019;257,33;;257,33;;1,104B;7427141656,3
04.09.2019;255,70;;255,70;;1,097B;7378106492,79
03.09.2019;255,34;;255,34;;1,095B;7362733788,61
30.08.2019;255,20;;255,20;;1,094B;7361698413,17
29.08.2019;253,30;;253,30;;1,089B;7309686049,86
28.08.2019;248,86;;248,86;;1,069B;7179770864,59
27.08.2019;250,98;;250,98;;1,079B;7240002193,1
26.08.2019;248,74;;248,74;;1,069B;7175428914,85
23.08.2019;252,38;;252,38;;1,083B;7282269141,38
22.08.2019;253,72;;253,72;;1,089B;7317902631,92
21.08.2019;253,68;;253,68;;1,088B;7309046347,05
20.08.2019;251,96;;251,96;;1,08B;7257713887,99
19.08.2019;252,25;;252,25;;1,081B;7265220969,66
16.08.2019;249,36;;249,36;;1,07B;7178746052,94
14.08.2019;247,58;;247,58;;1,052B;7119113156,86
13.08.2019;250,37;;250,37;;1,063B;7197200905,57
12.08.2019;248,09;;248,09;;1,053B;7132369218,14
09.08.2019;250,25;;250,25;;1,063B;7194382401,13
08.08.2019;249,05;;249,05;;1,057B;7162167965,06
07.08.2019;243,17;;243,17;;1,032B;6996243408,42
06.08.2019;246,33;;246,33;;1,045B;7082208985,84
05.08.2019;245,91;;245,91;;1,043B;7068483906,9
02.08.2019;253,20;;253,20;;1,074B;7277162113,39
01.08.2019;258,60;;258,60;;1,096B;7428591010,37
31.07.2019;258,12;;258,12;;1,094B;7416643219,9
30.07.2019;257,50;;257,50;;1,091B;7399661840,3
29.07.2019;259,09;;259,09;;1,097B;7443653143,96
26.07.2019;259,62;;259,62;;1,099B;7458360182,79
25.07.2019;257,85;;257,85;;1,091B;7406238076,05
24.07.2019;258,74;;258,74;;1,094B;7427820679,18
23.07.2019;257,30;;257,30;;1,088B;7384896957,57
22.07.2019;255,27;;255,27;;1,079B;7327092604,82
19.07.2019;256,10;;256,10;;1,081B;7347310962,65
18.07.2019;254,48;;254,48;;1,082B;7305656787,55
17.07.2019;255,84;;255,84;;1,088B;7344738871,5
16.07.2019;255,98;;255,98;;1,089B;7349770880,81
15.07.2019;255,05;;255,05;;1,086B;7328250857,35
12.07.2019;254,64;;254,64;;1,083B;7313814452,07
11.07.2019;254,94;;254,94;;1,084B;7322959951,13
10.07.2019;255,70;;255,70;;1,087B;7357721527,72
09.07.2019;254,54;;254,54;;1,081B;7320974393,44
08.07.2019;255,64;;255,64;;1,085B;7347558962,36
05.07.2019;255,38;;255,38;;1,132B;7329075711,34
03.07.2019;255,82;;255,82;;1,134B;7339189857,69
02.07.2019;253,91;;253,91;;1,125B;7300668587,64
01.07.2019;253,74;;253,74;;1,122B;7290071136,61
28.06.2019;249,46;;249,46;;1,101B;7162133630,43
27.06.2019;248,94;;248,94;;1,099B;7142708539,26
26.06.2019;248,58;;248,58;;1,097B;7129234075,63
25.06.2019;249,75;;249,75;;1,101B;7159326560,57
24.06.2019;249,65;;249,65;;1,108B;7152233940,09
21.06.2019;250,80;;250,80;;1,112B;7177359173,64
20.06.2019;253,26;;253,26;;1,123B;7242467749,02
19.06.2019;251,26;;251,26;;1,112B;7175278574,84
18.06.2019;251,68;;251,68;;1,113B;7182846760,01
17.06.2019;247,80;;247,80;;1,096B;7070591427,42
14.06.2019;247,17;;247,17;;1,093B;7050274738,61
13.06.2019;247,71;;247,71;;1,088B;7059564391,71
12.06.2019;246,14;;246,14;;1,078B;7008979551,98
11.06.2019;247,37;;247,37;;1,084B;7038751146,56
07.06.2019;243,68;;243,68;;1,067B;6929413048,21
06.06.2019;241,76;;241,76;;1,058B;6866108042,82
05.06.2019;241,13;;241,13;;1,055B;6845064840,59
04.06.2019;237,97;;237,97;;1,041B;6755080462,58
03.06.2019;237,50;;237,50;;1,039B;6735591614,9
31.05.2019;237,78;;237,78;;1,04B;6738282396,57
29.05.2019;239,52;;239,52;;1,047B;6791513544,08
28.05.2019;242,82;;242,82;;1,062B;6885695621,44
24.05.2019;242,56;;242,56;;1,061B;6877247135,61
