Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
12.11.2024;394,79;;394,79;;1,938B;11426905226,72
11.11.2024;395,21;;395,21;;1,94B;11445739380,8
08.11.2024;389,66;;389,66;;1,913B;11297622903,37
07.11.2024;387,77;;387,77;;1,903B;11256907578,88
06.11.2024;384,92;;384,92;;1,89B;11174112656,27
05.11.2024;375,68;;375,68;;1,844B;10918531578,94
04.11.2024;374,96;;374,96;;1,84B;10901136310,7
31.10.2024;373,35;;373,35;;1,831B;10857013800,43
30.10.2024;380,30;;380,30;;1,865B;11063577307,6
29.10.2024;380,90;;380,90;;1,868B;11084072776,97
28.10.2024;381,58;;381,58;;1,872B;11110428623,71
25.10.2024;380,96;;380,96;;1,882B;11112283108,03
24.10.2024;380,05;;380,05;;1,878B;11090552570,57
23.10.2024;381,25;;381,25;;1,885B;11131252323,7
22.10.2024;380,85;;380,85;;1,883B;11131610173,46
21.10.2024;383,77;;383,77;;1,898B;11221127996,89
18.10.2024;383,62;;383,62;;1,897B;11225011348,23
17.10.2024;384,30;;384,30;;1,902B;11251767180,99
16.10.2024;381,31;;381,31;;1,891B;11184393808,98
15.10.2024;384,91;;384,91;;1,909B;11297172728,51
14.10.2024;383,25;;383,25;;1,902B;11254584062,33
11.10.2024;378,91;;378,91;;1,881B;11137478050,65
10.10.2024;376,61;;376,61;;1,87B;11077346335,59
09.10.2024;376,79;;376,79;;1,872B;11091998614,48
08.10.2024;374,52;;374,52;;1,861B;11039290583,94
07.10.2024;374,24;;374,24;;1,896B;11069628008,17
04.10.2024;375,22;;375,22;;1,902B;11107969719,28
03.10.2024;372,85;;372,85;;1,891B;11054039963,27
02.10.2024;372,08;;372,08;;1,887B;11039575550,85
01.10.2024;373,75;;373,75;;1,897B;11091070118,48
30.09.2024;373,18;;373,18;;1,895B;11084785882,49
27.09.2024;374,78;;374,78;;1,903B;11138432449,51
26.09.2024;375,14;;375,14;;1,906B;11153863283,91
25.09.2024;370,17;;370,17;;1,881B;11013098825,66
24.09.2024;370,45;;370,45;;1,883B;11024448489,16
23.09.2024;370,43;;370,43;;1,884B;11028787552,8
20.09.2024;369,01;;369,01;;1,877B;10992480257,92
19.09.2024;372,42;;372,42;;1,894B;11080787694,22
18.09.2024;367,72;;367,72;;1,871B;10943119967,42
17.09.2024;369,22;;369,22;;1,88B;10992255697,4
16.09.2024;368,45;;368,45;;1,876B;10970914811,73
13.09.2024;367,70;;367,70;;1,872B;10951449098,64
12.09.2024;364,06;;364,06;;1,854B;10844145182,13
11.09.2024;360,52;;360,52;;1,836B;10741271799,5
10.09.2024;361,38;;361,38;;1,841B;10773693423,06
09.09.2024;360,56;;360,56;;1,836B;10752899578,45
